"","V1","V2","V3"
"1",2,1,1
"2",1,1,2
"3",1,0,1
"4",0,0,0
"5",1,1,1
"6",4,1,1
"7",1,1,2
"8",0,0,1
"9",3,0,2
"10",0,0,0
"11",0,1,2
"12",1,1,2
"13",1,3,3
"14",1,1,1
"15",1,0,1
"16",2,1,1
"17",1,1,1
"18",1,4,1
"19",1,0,1
"20",2,3,3
"21",2,2,0
"22",1,0,1
"23",1,0,0
"24",2,2,1
"25",1,1,1
"26",3,3,2
"27",2,2,0
"28",0,0,1
"29",2,1,0
"30",1,2,1
"31",0,1,0
"32",0,1,1
"33",1,0,0
"34",3,1,2
"35",0,1,0
"36",2,2,1
"37",2,1,2
"38",1,0,0
"39",1,0,0
"40",1,0,0
"41",2,2,1
"42",1,3,2
"43",3,3,3
"44",2,2,2
"45",0,0,1
"46",1,1,1
"47",1,1,1
"48",1,0,0
"49",0,0,0
"50",4,2,1
"51",2,3,1
"52",1,2,1
"53",1,1,0
"54",0,0,0
"55",1,0,1
"56",1,1,1
"57",0,0,0
"58",3,0,1
"59",3,0,1
"60",2,2,4
"61",0,1,1
"62",2,2,1
"63",1,2,1
"64",0,1,0
"65",2,1,0
"66",2,0,3
"67",1,2,4
"68",1,3,3
"69",1,1,0
"70",1,1,2
"71",0,1,1
"72",0,1,0
"73",1,1,1
"74",2,2,0
"75",1,0,1
"76",0,0,0
"77",0,1,0
"78",0,1,1
"79",0,1,0
"80",0,0,0
"81",1,0,2
"82",0,0,0
"83",1,1,2
"84",2,4,4
"85",0,2,2
"86",2,1,0
"87",0,0,0
"88",1,0,0
"89",0,2,0
"90",1,0,3
"91",2,2,4
"92",1,1,2
"93",2,0,2
"94",3,3,2
"95",0,0,0
"96",1,3,0
"97",1,1,4
"98",1,2,2
"99",2,2,0
"100",0,1,0
"101",0,1,0
"102",0,1,0
"103",1,1,0
"104",1,2,0
"105",2,2,2
"106",1,0,1
"107",0,3,0
"108",0,0,0
"109",0,4,2
"110",1,2,1
"111",1,0,0
"112",3,2,2
"113",0,2,0
"114",2,1,2
"115",1,0,0
"116",1,0,3
"117",0,1,0
"118",0,1,1
"119",1,1,2
"120",3,2,1
"121",2,1,0
"122",1,2,1
"123",4,4,0
"124",0,0,0
"125",0,2,2
"126",0,0,1
"127",1,1,1
"128",1,0,2
"129",0,1,1
"130",3,1,3
"131",1,2,3
"132",1,1,3
"133",2,1,2
"134",1,1,0
"135",2,0,1
"136",2,2,1
"137",1,2,1
"138",2,3,2
"139",2,2,0
"140",1,1,0
"141",1,2,1
"142",2,1,3
"143",1,3,1
"144",4,0,1
"145",2,2,2
"146",1,2,2
"147",0,0,1
"148",0,0,2
"149",0,0,0
"150",0,1,0
"151",1,1,2
"152",3,3,3
"153",0,2,1
"154",0,1,0
"155",2,0,2
"156",1,1,2
"157",1,1,1
"158",0,0,0
"159",0,1,1
"160",0,0,0
"161",0,2,3
"162",3,0,1
"163",0,1,1
"164",2,3,2
"165",1,1,0
"166",1,2,1
"167",0,0,0
"168",3,1,3
"169",0,2,4
"170",0,2,1
"171",4,2,2
"172",2,0,3
"173",1,1,0
"174",0,0,0
"175",1,0,2
"176",1,1,0
"177",3,3,2
"178",1,2,0
"179",0,0,0
"180",2,2,0
"181",0,0,0
"182",4,0,1
"183",2,2,1
"184",0,1,2
"185",0,2,4
"186",0,0,2
"187",1,1,2
"188",2,2,0
"189",1,2,1
"190",0,0,1
"191",2,1,1
"192",0,0,3
"193",1,3,2
"194",2,2,1
"195",1,2,1
"196",1,2,1
"197",3,1,2
"198",0,0,1
"199",3,1,0
"200",0,0,1
"201",1,1,2
"202",1,1,0
"203",1,3,1
"204",2,0,1
"205",1,1,1
"206",1,1,0
"207",0,3,2
"208",0,1,0
"209",2,0,2
"210",1,1,0
"211",1,0,1
"212",3,2,2
"213",2,1,1
"214",4,1,1
"215",0,2,0
"216",1,0,1
"217",2,1,3
"218",0,2,0
"219",1,1,1
"220",2,2,1
"221",0,1,0
"222",4,2,3
"223",2,2,1
"224",1,0,0
"225",0,2,1
"226",2,0,1
"227",3,3,1
"228",0,0,0
"229",1,0,0
"230",1,0,3
"231",0,2,1
"232",1,0,0
"233",2,1,2
"234",2,0,2
"235",1,3,2
"236",2,1,0
"237",2,0,1
"238",2,1,1
"239",1,1,1
"240",2,2,1
"241",1,1,1
"242",3,2,3
"243",1,2,2
"244",0,1,1
"245",1,1,1
"246",2,2,4
"247",0,1,1
"248",3,0,2
"249",0,0,0
"250",5,3,4
"251",1,1,1
"252",2,1,2
"253",2,2,1
"254",2,2,5
"255",1,2,2
"256",5,3,3
"257",1,3,4
"258",1,0,0
"259",0,2,1
"260",0,1,1
"261",0,3,1
"262",2,1,0
"263",1,0,1
"264",3,0,1
"265",0,0,1
"266",2,4,1
"267",0,1,1
"268",2,0,2
"269",0,2,2
"270",2,2,0
"271",1,3,1
"272",0,2,1
"273",1,0,0
"274",1,0,2
"275",4,3,1
"276",1,1,0
"277",1,1,0
"278",1,2,0
"279",0,0,0
"280",1,0,0
"281",1,0,2
"282",0,1,0
"283",1,1,0
"284",1,0,1
"285",2,1,1
"286",0,1,1
"287",3,1,2
"288",2,3,1
"289",2,1,1
"290",3,2,1
"291",0,1,1
"292",2,2,2
"293",0,1,0
"294",1,1,1
"295",2,0,2
"296",0,0,0
"297",1,1,0
"298",1,2,1
"299",3,2,4
"300",1,0,0
"301",1,0,0
"302",1,1,0
"303",2,1,2
"304",0,1,0
"305",0,2,2
"306",0,0,0
"307",0,0,0
"308",2,1,0
"309",0,0,0
"310",1,2,2
"311",1,1,1
"312",1,2,1
"313",1,2,2
"314",1,1,1
"315",2,0,1
"316",2,2,1
"317",2,1,2
"318",0,0,1
"319",1,2,2
"320",1,0,3
"321",2,1,1
"322",0,1,1
"323",1,0,1
"324",2,2,3
"325",1,1,1
"326",0,2,0
"327",0,2,2
"328",2,0,2
"329",0,0,2
"330",3,2,3
"331",0,0,1
"332",1,1,0
"333",3,2,2
"334",1,1,2
"335",0,5,1
"336",0,1,0
"337",1,0,1
"338",0,0,2
"339",0,0,0
"340",1,3,2
"341",2,0,0
"342",3,1,2
"343",2,1,1
"344",0,0,1
"345",2,0,1
"346",1,2,1
"347",1,0,0
"348",3,1,1
"349",3,2,2
"350",1,2,1
"351",0,2,0
"352",1,2,0
"353",1,1,2
"354",3,2,1
"355",1,0,0
"356",1,0,3
"357",0,1,1
"358",2,1,0
"359",0,2,1
"360",4,5,2
"361",0,1,0
"362",0,0,0
"363",2,2,3
"364",0,1,1
"365",2,2,3
"366",1,1,0
"367",3,1,1
"368",3,1,1
"369",1,1,0
"370",0,1,0
"371",4,1,2
"372",2,1,2
"373",3,1,3
"374",1,4,1
"375",1,2,1
"376",3,5,1
"377",0,0,2
"378",1,0,1
"379",3,1,1
"380",1,0,2
"381",0,0,0
"382",0,1,1
"383",1,2,3
"384",0,0,1
"385",3,1,1
"386",0,1,1
"387",1,2,2
"388",2,2,4
"389",0,0,0
"390",0,0,0
"391",0,2,0
"392",2,1,0
"393",1,1,1
"394",1,1,1
"395",1,1,3
"396",2,1,0
"397",2,1,1
"398",1,0,1
"399",3,0,1
"400",1,2,3
"401",0,2,3
"402",2,1,1
"403",0,0,0
"404",1,2,0
"405",0,1,1
"406",0,0,0
"407",2,3,2
"408",2,1,2
"409",3,2,3
"410",1,1,0
"411",1,1,0
"412",0,0,0
"413",2,1,1
"414",1,1,0
"415",3,2,0
"416",1,2,2
"417",2,1,1
"418",0,0,0
"419",2,0,3
"420",1,1,1
"421",1,0,0
"422",1,1,3
"423",2,0,2
"424",0,0,1
"425",1,0,0
"426",3,2,1
"427",0,1,1
"428",0,0,2
"429",1,1,2
"430",2,2,0
"431",3,1,1
"432",2,5,2
"433",2,2,3
"434",1,1,2
"435",0,2,1
"436",2,3,2
"437",1,0,1
"438",1,0,0
"439",0,0,1
"440",0,0,0
"441",1,2,1
"442",1,0,1
"443",1,2,1
"444",2,4,3
"445",0,0,0
"446",2,2,2
"447",2,1,1
"448",0,1,1
"449",1,1,0
"450",0,0,2
"451",1,1,0
"452",3,3,2
"453",1,2,1
"454",0,0,0
"455",0,0,0
"456",2,0,1
"457",2,3,1
"458",4,2,3
"459",2,3,3
"460",1,3,0
"461",2,3,5
"462",2,1,1
"463",2,2,2
"464",0,2,2
"465",2,1,3
"466",2,0,2
"467",0,0,0
"468",0,2,3
"469",2,2,0
"470",1,1,1
"471",0,0,0
"472",0,1,0
"473",0,0,0
"474",1,1,1
"475",1,1,1
"476",1,1,3
"477",2,1,6
"478",1,1,2
"479",3,2,1
"480",2,1,1
"481",0,1,1
"482",4,1,1
"483",2,3,4
"484",1,3,1
"485",0,1,1
"486",2,2,1
"487",0,0,0
"488",4,3,3
"489",0,0,0
"490",3,1,2
"491",3,3,3
"492",2,1,1
"493",0,1,1
"494",0,0,0
"495",2,2,2
"496",0,2,2
"497",5,1,2
"498",0,2,4
"499",0,1,0
"500",1,2,3
"501",2,1,0
"502",0,1,2
"503",4,2,1
"504",0,0,0
"505",1,0,2
"506",1,0,0
"507",3,2,1
"508",3,2,1
"509",2,2,2
"510",1,0,2
"511",2,0,1
"512",3,2,3
"513",0,3,1
"514",0,2,3
"515",0,1,1
"516",1,0,0
"517",1,3,2
"518",1,0,1
"519",1,1,2
"520",2,2,3
"521",0,1,1
"522",1,0,0
"523",0,0,0
"524",0,1,0
"525",1,2,1
"526",0,0,2
"527",0,0,1
"528",0,0,2
"529",1,0,1
"530",0,0,0
"531",1,0,2
"532",1,1,1
"533",3,2,2
"534",1,2,0
"535",1,1,0
"536",2,1,3
"537",0,0,1
"538",2,1,1
"539",5,3,4
"540",0,0,1
"541",0,0,0
"542",1,1,1
"543",2,3,2
"544",0,1,1
"545",0,2,0
"546",0,0,2
"547",1,0,2
"548",0,1,3
"549",2,1,1
"550",6,3,1
"551",1,3,3
"552",0,3,1
"553",2,1,1
"554",1,1,1
"555",0,1,1
"556",2,1,1
"557",1,2,1
"558",1,1,1
"559",1,3,1
"560",0,1,1
"561",2,1,1
"562",1,2,0
"563",1,1,2
"564",0,0,2
"565",3,2,0
"566",2,2,1
"567",1,1,1
"568",1,0,0
"569",0,3,5
"570",1,1,2
"571",1,0,1
"572",0,0,0
"573",0,1,1
"574",1,1,0
"575",2,4,4
"576",2,5,2
"577",2,1,2
"578",1,1,0
"579",1,1,0
"580",1,2,1
"581",1,1,0
"582",1,2,1
"583",0,1,0
"584",0,0,0
"585",2,1,1
"586",1,2,1
"587",2,2,1
"588",0,1,3
"589",0,1,0
"590",1,2,1
"591",2,0,1
"592",0,0,0
"593",1,2,0
"594",0,2,1
"595",2,1,3
"596",1,0,0
"597",0,1,0
"598",4,4,2
"599",0,2,3
"600",0,1,1
"601",0,0,2
"602",0,0,0
"603",1,0,0
"604",4,4,0
"605",1,0,0
"606",0,0,1
"607",4,4,2
"608",1,1,1
"609",0,0,0
"610",0,0,0
"611",1,1,0
"612",1,3,2
"613",1,1,1
"614",1,0,0
"615",0,1,2
"616",2,1,2
"617",1,0,0
"618",1,2,0
"619",1,0,0
"620",0,2,2
"621",3,2,3
"622",0,1,0
"623",0,0,1
"624",1,1,1
"625",1,2,1
"626",1,3,2
"627",0,3,4
"628",1,0,1
"629",1,1,0
"630",1,2,0
"631",2,2,1
"632",1,1,1
"633",4,0,0
"634",2,2,2
"635",1,0,0
"636",2,1,0
"637",3,2,0
"638",0,0,1
"639",3,2,2
"640",2,1,2
"641",1,3,1
"642",1,1,0
"643",1,1,0
"644",1,2,1
"645",0,3,1
"646",3,1,1
"647",2,0,0
"648",0,1,2
"649",2,1,2
"650",1,2,2
"651",0,0,0
"652",3,3,2
"653",0,0,0
"654",0,1,0
"655",0,0,0
"656",0,2,2
"657",3,2,2
"658",0,1,0
"659",1,0,2
"660",1,1,2
"661",1,1,0
"662",1,0,1
"663",1,2,2
"664",0,1,0
"665",0,0,0
"666",3,3,0
"667",3,4,3
"668",0,1,1
"669",0,0,1
"670",1,4,4
"671",3,1,1
"672",1,0,1
"673",1,1,1
"674",3,2,2
"675",3,0,2
"676",0,0,1
"677",1,0,1
"678",0,1,1
"679",0,0,1
"680",0,0,0
"681",1,3,2
"682",1,0,0
"683",2,1,2
"684",0,3,3
"685",2,2,2
"686",1,1,0
"687",0,0,0
"688",1,0,1
"689",0,0,0
"690",1,0,1
"691",3,1,2
"692",1,1,1
"693",0,1,0
"694",1,0,0
"695",4,1,0
"696",0,3,2
"697",2,1,1
"698",0,1,1
"699",1,0,0
"700",0,1,0
"701",0,1,1
"702",1,2,2
"703",1,2,3
"704",1,0,0
"705",1,1,0
"706",2,1,0
"707",2,3,2
"708",0,0,0
"709",2,3,2
"710",0,1,1
"711",1,2,2
"712",2,1,2
"713",2,0,1
"714",0,2,0
"715",1,0,2
"716",1,1,1
"717",2,0,0
"718",1,1,1
"719",1,2,3
"720",0,0,0
"721",3,0,1
"722",0,1,0
"723",2,2,0
"724",1,1,1
"725",1,0,0
"726",1,1,2
"727",1,0,3
"728",0,1,2
"729",1,1,0
"730",0,2,0
"731",2,3,2
"732",0,1,5
"733",0,0,1
"734",0,0,0
"735",0,0,1
"736",0,0,1
"737",0,1,0
"738",1,0,0
"739",4,2,2
"740",1,2,3
"741",1,2,1
"742",2,2,0
"743",1,1,1
"744",2,2,2
"745",1,2,1
"746",1,0,2
"747",1,2,1
"748",0,0,0
"749",0,3,0
"750",0,1,1
"751",0,0,1
"752",3,1,3
"753",3,2,2
"754",0,0,2
"755",2,0,2
"756",1,1,2
"757",0,0,1
"758",0,2,0
"759",1,0,0
"760",0,2,1
"761",1,0,3
"762",0,0,0
"763",0,0,0
"764",1,1,1
"765",3,0,0
"766",0,0,0
"767",0,0,1
"768",0,0,0
"769",0,0,0
"770",1,0,0
"771",4,0,2
"772",0,0,0
"773",3,2,1
"774",0,0,0
"775",0,0,1
"776",0,1,0
"777",1,1,3
"778",2,4,0
"779",1,0,2
"780",2,1,2
"781",1,2,2
"782",1,2,2
"783",4,2,2
"784",0,0,3
"785",0,1,0
"786",2,2,2
"787",0,1,1
"788",2,2,2
"789",2,1,0
"790",0,1,2
"791",4,1,2
"792",2,2,2
"793",2,1,0
"794",1,1,3
"795",1,2,2
"796",0,0,0
"797",1,0,1
"798",1,1,2
"799",0,0,0
"800",0,2,1
"801",4,1,4
"802",3,2,2
"803",1,0,0
"804",0,0,0
"805",2,0,0
"806",0,0,0
"807",4,0,1
"808",1,2,3
"809",2,2,1
"810",2,0,1
"811",2,3,1
"812",2,3,3
"813",1,1,2
"814",0,1,0
"815",2,0,2
"816",0,0,1
"817",0,0,2
"818",1,0,0
"819",1,1,1
"820",0,2,1
"821",2,1,1
"822",2,2,0
"823",0,1,2
"824",0,1,1
"825",0,0,0
"826",4,4,2
"827",1,1,2
"828",1,0,1
"829",0,1,1
"830",1,3,0
"831",1,0,1
"832",1,1,0
"833",1,1,0
"834",0,1,1
"835",3,6,0
"836",0,1,0
"837",0,0,0
"838",2,3,2
"839",3,1,3
"840",1,1,2
"841",3,2,1
"842",2,1,1
"843",2,2,1
"844",1,0,2
"845",0,2,1
"846",3,2,2
"847",2,1,2
"848",3,2,2
"849",2,1,2
"850",1,1,3
"851",1,1,1
"852",1,1,0
"853",0,1,2
"854",2,2,1
"855",0,0,1
"856",2,0,1
"857",3,0,2
"858",2,1,3
"859",1,1,1
"860",0,1,1
"861",1,2,3
"862",1,2,3
"863",0,1,1
"864",1,0,0
"865",1,1,1
"866",0,1,3
"867",0,1,1
"868",0,1,1
"869",4,4,2
"870",1,1,1
"871",1,2,1
"872",0,1,0
"873",3,1,1
"874",1,1,3
"875",0,1,0
"876",2,1,2
"877",4,1,1
"878",1,0,0
"879",1,1,0
"880",1,2,0
"881",1,1,2
"882",1,2,0
"883",0,1,1
"884",0,1,0
"885",1,2,3
"886",4,2,1
"887",1,1,1
"888",2,1,1
"889",1,0,0
"890",3,3,2
"891",0,0,1
"892",2,2,1
"893",2,0,0
"894",1,2,0
"895",0,1,0
"896",1,1,2
"897",0,1,1
"898",0,3,1
"899",1,2,1
"900",1,1,1
"901",0,1,0
"902",0,1,0
"903",0,1,0
"904",1,1,1
"905",0,0,1
"906",0,0,1
"907",0,0,1
"908",1,2,2
"909",0,0,1
"910",2,2,1
"911",3,2,5
"912",3,2,3
"913",3,3,2
"914",0,1,1
"915",1,2,1
"916",1,1,1
"917",1,2,2
"918",1,2,1
"919",1,4,3
"920",2,0,1
"921",1,2,0
"922",1,1,0
"923",1,0,0
"924",1,3,1
"925",5,2,3
"926",2,4,2
"927",1,0,2
"928",2,1,3
"929",1,2,2
"930",0,1,2
"931",1,2,1
"932",2,3,2
"933",2,1,1
"934",2,1,0
"935",1,0,0
"936",0,2,1
"937",1,2,4
"938",0,1,1
"939",3,2,2
"940",2,0,1
"941",0,0,0
"942",1,1,1
"943",0,2,1
"944",0,2,1
"945",1,2,1
"946",1,2,2
"947",2,1,0
"948",1,2,3
"949",3,3,3
"950",3,1,1
"951",0,0,2
"952",2,2,1
"953",0,0,0
"954",2,1,1
"955",1,0,1
"956",1,1,0
"957",1,0,1
"958",1,0,2
"959",1,1,1
"960",1,1,0
"961",1,0,0
"962",0,0,1
"963",2,1,2
"964",0,0,0
"965",2,1,3
"966",0,0,2
"967",3,3,3
"968",1,1,2
"969",2,2,0
"970",0,1,2
"971",1,1,1
"972",1,0,1
"973",1,0,0
"974",1,0,1
"975",0,1,1
"976",0,1,1
"977",1,0,0
"978",1,1,2
"979",1,0,2
