survey,site,cell,adult,tadpole,subadult,water,year,surv,date,fish,depth,elev,basin,surveyyear
3,2,21,0,0,0,0.48,1,1,203,No,-0.462958128,0.075025194,1,
128,42,113,0,0,0,0.48,1,1,259,No,-0.065760896,-0.476949631,0,
256,78,107,0,0,0,0.48,1,1,190,SFL,-0.562257436,-1.224624622,0,
266,82,21,0,0,0,0.48,1,1,203,SFL,0.55485978,0.197965041,1,
315,98,21,0,0,0,0.48,1,1,202,SFL,-0.462958128,-0.047914654,1,
354,107,21,0,0,0,0.48,1,1,204,No,-0.512607782,-0.414225219,1,
376,113,101,0,0,0,0.48,1,1,188,SFL,0.356261163,-1.879467482,0,
418,126,118,2,2,6,0.48,1,1,261,No,0.430735645,-0.123183948,0,
442,136,118,0,0,4,0.48,1,1,264,No,0.232137028,-0.429279078,0,
485,150,32,0,0,0,0.48,1,1,207,SFL,-0.562257436,-0.238596866,1,
489,152,66,0,0,0,0.48,1,1,242,SFL,-0.189885031,1.128795314,0,
518,156,113,0,0,8,0.48,1,1,259,No,0.927232185,-0.476949631,0,
636,188,77,0,0,0,0.48,1,1,223,No,0.753458396,1.680770139,0,
639,189,101,0,0,0,0.48,1,1,188,SF,0.182487374,-1.879467482,0,
653,194,112,3,0,11,0.48,1,1,263,No,0.55485978,-0.614943338,0,
682,203,83,0,0,0,0.48,1,1,222,No,0.232137028,1.221627444,0,
696,204,74,0,0,0,0.48,1,1,214,No,-0.189885031,-0.828206338,0,
701,205,113,0,0,3,0.48,1,1,259,No,-0.065760896,-0.514584279,0,
711,208,107,0,0,0,0.48,1,1,188,No,0.356261163,-1.879467482,0,
742,219,118,0,0,0,0.48,1,1,191,SFL,0.058363239,-1.056523198,0,
767,228,41,0,0,0,0.48,1,1,153,No,-0.314009166,-1.302402892,1,
768,228,41,1,0,0,0.48,1,2,166,No,-0.314009166,-1.302402892,1,
769,228,41,2,0,0,0.48,1,3,172,No,-0.314009166,-1.302402892,1,
770,228,41,1,40,0,0.48,1,4,209,No,-0.314009166,-1.302402892,1,
771,228,41,1,52,0,0.48,1,5,250,No,-0.314009166,-1.302402892,1,
811,230,107,0,0,0,0.48,1,1,191,SFL,-0.189885031,-1.054014221,0,
954,267,118,1,0,11,0.48,1,1,261,No,0.678983915,-0.108130089,0,
999,281,113,0,0,0,0.48,1,1,259,No,2.664970075,-0.494512467,0,
1004,282,57,0,0,0,0.48,1,1,138,No,-0.264359512,-1.713875035,1,
1034,294,66,0,0,0,0.48,1,1,243,No,0.232137028,1.068579878,0,
1082,300,118,0,0,0,0.48,1,1,261,No,0.306611509,0.059971335,0,
1118,310,93,0,0,0,0.48,1,1,237,SF,0.927232185,0.732377031,0,
1143,317,21,0,0,0,0.48,1,1,202,SF,0.430735645,-0.047914654,1,
1209,334,21,0,0,0,0.48,1,1,203,SF,0.55485978,-0.002753077,1,
1229,338,72,0,0,0,0.48,1,1,222,SFL,1.994699746,1.467507138,0,
1280,348,93,0,0,0,0.48,1,1,239,No,-0.264359512,1.191519726,0,
1348,367,107,0,0,0,0.48,1,1,190,SFL,-0.264359512,-1.054014221,0,
1359,369,66,0,0,0,0.48,1,1,242,SF,0.182487374,1.161412008,0,
1416,385,106,0,0,0,0.48,1,1,180,No,-0.314009166,-1.959754729,0,
1418,386,107,0,0,0,0.48,1,1,188,SF,0.728633569,-1.879467482,0,
1452,395,26,0,0,0,0.48,1,1,228,SF,1.05135632,-0.150782689,1,
1465,399,88,0,0,0,0.48,1,1,216,SF,0.877582531,0.792592466,0,
1485,406,118,0,3,1,0.48,1,1,261,No,0.55485978,0.072516217,0,
1536,416,118,0,0,0,0.48,1,1,260,SFL,2.0443494,-0.120674972,0,
1540,418,112,0,0,0,0.48,1,1,192,SFL,1.101005974,-1.252223363,0,
1545,420,88,0,0,0,0.48,1,1,241,SFL,2.242948016,1.128795314,0,
1566,424,77,0,0,0,0.48,1,1,223,SF,0.753458396,1.618045727,0,
1588,429,72,0,0,0,0.48,1,1,223,No,6.885190666,1.894033139,0,
1593,430,20,0,0,0,0.48,1,1,230,SF,2.168473535,-0.539674043,1,
1629,436,20,0,0,0,0.48,1,1,229,No,-0.065760896,-0.484476561,1,
1666,443,72,0,0,0,0.48,1,1,221,SF,0.678983915,1.098687596,0,
1690,448,21,0,0,0,0.48,1,1,202,SF,1.597502514,0.052444405,1,
1721,460,72,0,0,0,0.48,1,1,223,SF,1.920225265,1.740985574,0,
1726,462,118,0,0,1,0.48,1,1,264,SF,4.775080371,-0.652577985,0,
1738,468,88,0,0,0,0.48,1,1,216,SF,1.175480455,1.038472161,0,
1742,470,118,0,0,0,0.48,1,1,191,No,1.79610113,-0.93358335,0,
1747,471,77,0,0,0,0.48,1,1,223,SF,1.29960459,1.349585244,0,
1759,475,93,0,0,0,0.48,1,1,237,SF,2.0443494,0.915532313,0,
1777,481,118,3,0,5,0.48,1,1,264,SF,2.168473535,-0.444332937,0,
1778,482,118,0,0,0,0.48,1,1,258,SF,2.168473535,-0.823188385,0,
1799,487,113,0,0,0,0.48,1,1,259,SFL,6.885190666,-0.524620184,0,
1805,488,93,0,0,0,0.48,1,1,237,SF,1.920225265,0.672161595,0,
1813,490,41,0,0,0,0.48,1,1,166,SFL,-0.189885031,-1.485558175,1,
1814,490,41,0,0,0,0.48,1,2,182,SFL,-0.189885031,-1.485558175,1,
1815,490,41,0,0,0,0.48,1,3,210,SFL,-0.189885031,-1.485558175,1,
1816,490,41,0,0,0,0.48,1,4,252,SFL,-0.189885031,-1.485558175,1,
1848,493,21,0,0,0,0.48,1,1,202,SF,3.409714885,0.20549197,1,
1853,494,82,0,0,0,0.48,1,1,225,SF,1.05135632,0.12018677,0,
1861,497,71,0,0,0,0.48,1,1,243,SF,2.689794902,1.00334649,0,
1890,503,72,0,0,0,0.48,1,1,223,SF,5.892197586,1.618045727,0,
1893,504,118,0,0,0,0.48,1,1,264,SF,6.761066531,-1.134301468,0,
1915,508,101,0,0,0,0.48,1,1,188,SF,2.913218345,-1.879467482,0,
1917,509,104,0,0,0,0.48,1,1,238,SF,2.913218345,0.887933572,0,
1927,512,106,0,0,0,0.48,1,1,180,SF,1.969874919,-1.937173941,0,
1930,513,66,0,0,0,0.48,1,1,242,SF,6.885190666,1.30944162,0,
1962,521,99,0,0,0,0.48,1,1,241,SFL,1.200305282,1.434890444,0,
1963,522,88,0,0,0,0.48,1,1,216,SF,1.746451476,1.128795314,0,
2046,543,26,0,0,0,0.48,1,1,229,No,-0.140235377,-0.507057349,1,
2048,544,26,0,0,0,0.48,1,1,228,No,-0.438133301,-0.507057349,1,
2051,545,32,0,0,0,0.48,1,1,207,No,-0.562257436,0.135240629,1,
2053,546,118,0,0,0,0.48,1,1,260,No,0.430735645,-0.123183948,0,
2154,583,118,2,0,5,0.48,1,1,262,No,-0.487782955,0.027354641,0,
2534,706,118,0,0,0,0.48,1,1,258,No,-0.487782955,-0.690212632,0,
2549,712,118,0,0,0,0.48,1,1,258,No,-0.388483647,-0.690212632,0,
2618,727,88,0,0,0,0.48,1,1,214,No,-0.487782955,0.609437183,0,
2698,748,32,0,0,0,0.48,1,1,205,No,-0.562257436,-0.216016078,1,
3017,851,32,0,0,0,0.48,1,1,207,No,-0.487782955,-0.10060316,1,
3340,968,118,0,0,0,0.48,1,1,262,No,-0.487782955,-0.09307623,0,
3515,1018,82,0,0,0,0.48,1,1,165,No,-0.413308474,-0.369063643,0,
4062,1205,88,0,0,0,0.48,1,1,216,No,-0.264359512,1.161412008,0,
4096,1219,118,0,0,19,0.48,1,1,262,No,-0.388483647,-0.085549301,0,
4175,1240,118,0,0,0,0.48,1,1,258,No,-0.413308474,-0.981253903,0,
4293,1284,107,0,0,0,0.48,1,1,190,SFL,-0.512607782,-1.056523198,0,
4297,1286,118,0,0,1,0.48,1,1,261,No,-0.189885031,-0.108130089,0,
4513,1362,118,0,0,0,0.48,1,1,258,No,-0.314009166,-0.690212632,0,
