"","survey","site","cell","adult","tadpole","subadult","water","year","date","fish","depth","elev","basin"
"1",2607,727,88,0,0,0,0.59,12,162,"No",-0.487782955,0.609437183,0
"2",2608,727,88,0,0,0,0.59,12,163,"No",-0.487782955,0.609437183,0
"3",2609,727,88,0,0,0,0.72,14,209,"No",-0.487782955,0.609437183,0
"4",2610,727,88,0,0,0,1.11,15,161,"No",-0.487782955,0.609437183,0
"5",2611,727,88,0,0,0,1.11,15,199,"No",-0.487782955,0.609437183,0
"6",2612,727,88,0,0,0,1.11,15,203,"No",-0.487782955,0.609437183,0
"7",2613,727,88,0,0,0,1.64,16,204,"No",-0.487782955,0.609437183,0
"8",2614,727,88,0,0,0,1.06,17,209,"No",-0.487782955,0.609437183,0
"9",2615,727,88,0,0,0,0.5,18,213,"No",-0.487782955,0.609437183,0
"10",2616,727,88,0,0,0,0.71,19,234,"No",-0.487782955,0.609437183,0
"11",2617,727,88,0,0,0,0.92,20,234,"No",-0.487782955,0.609437183,0
"12",2618,727,88,0,0,0,0.48,1,214,"No",-0.487782955,0.609437183,0
"13",2619,727,88,0,0,0,0.93,3,232,"No",-0.487782955,0.609437183,0
"14",2620,727,88,0,0,0,0.91,4,171,"No",-0.487782955,0.609437183,0
"15",2621,727,88,0,0,0,1.43,7,170,"No",-0.487782955,0.609437183,0
"16",2622,727,88,0,0,0,1.72,8,175,"No",-0.487782955,0.609437183,0
"17",2623,727,88,0,0,0,1.72,8,200,"No",-0.487782955,0.609437183,0
"18",2624,727,88,0,0,0,1.72,8,250,"No",-0.487782955,0.609437183,0
"19",2625,727,88,0,0,0,1.72,8,258,"No",-0.487782955,0.609437183,0
"20",2626,727,88,0,0,0,1.37,9,137,"No",-0.487782955,0.609437183,0
"21",2627,727,88,0,0,0,1.37,9,234,"No",-0.487782955,0.609437183,0
"22",2628,727,88,0,0,0,0.99,10,178,"No",-0.487782955,0.609437183,0
"23",2629,727,88,0,0,0,0.75,11,167,"No",-0.487782955,0.609437183,0
"24",2630,727,88,0,0,0,0.75,11,182,"No",-0.487782955,0.609437183,0
"25",2631,727,88,0,0,0,0.75,11,217,"No",-0.487782955,0.609437183,0
