,152,169,181,211,217,241
Site,1a,1b,1c,1d,1e,1f
1764,44,317,401,468,161,479
228,2,NA,16,NA,NA,0
490,NA,0,NA,NA,NA,NA
1634,5,NA,NA,55,NA,NA
2045,NA,16,NA,NA,NA,NA
21,NA,NA,11,NA,NA,NA
36,NA,NA,0,NA,NA,NA
40,NA,NA,0,NA,NA,NA
43,NA,NA,1,NA,NA,NA
48,NA,NA,6,NA,NA,NA
55,NA,NA,0,NA,NA,NA
57,NA,NA,5,NA,NA,NA
60,NA,NA,1,NA,NA,NA
68,NA,NA,0,NA,NA,NA
71,NA,NA,0,NA,NA,NA
92,NA,NA,23,NA,NA,NA
105,NA,NA,0,NA,NA,NA
108,NA,NA,0,NA,NA,NA
119,NA,NA,0,NA,NA,NA
136,NA,NA,3,NA,NA,NA
139,NA,NA,0,NA,NA,NA
144,NA,NA,0,NA,NA,NA
154,NA,NA,1,NA,NA,NA
163,NA,NA,0,NA,NA,NA
165,NA,NA,0,NA,NA,NA
169,NA,NA,2,NA,NA,NA
183,NA,NA,0,NA,NA,NA
192,NA,NA,0,NA,NA,NA
194,NA,NA,0,NA,NA,NA
216,NA,NA,0,NA,NA,NA
223,NA,NA,0,NA,NA,NA
235,NA,NA,1,NA,NA,NA
257,NA,NA,0,NA,NA,NA
258,NA,NA,0,NA,NA,NA
270,NA,NA,1,NA,NA,NA
279,NA,NA,1,NA,NA,NA
293,NA,NA,2,NA,NA,NA
296,NA,NA,4,NA,NA,NA
297,NA,NA,0,NA,NA,NA
298,NA,NA,1,NA,NA,NA
299,NA,NA,2,NA,NA,NA
301,NA,NA,0,NA,NA,NA
311,NA,NA,0,NA,NA,NA
321,NA,NA,0,NA,NA,NA
331,NA,NA,0,NA,NA,NA
336,NA,NA,0,NA,NA,NA
338,NA,NA,0,NA,NA,NA
352,NA,NA,5,NA,NA,NA
357,NA,NA,0,NA,NA,NA
376,NA,NA,0,NA,NA,NA
380,NA,NA,0,NA,NA,NA
392,NA,NA,1,NA,NA,NA
407,NA,NA,0,NA,NA,NA
418,NA,NA,0,NA,NA,NA
422,NA,NA,10,NA,NA,NA
425,NA,NA,0,NA,NA,NA
433,NA,NA,20,NA,NA,NA
444,NA,NA,0,NA,NA,NA
470,NA,NA,0,NA,NA,NA
472,NA,NA,1,NA,NA,NA
481,NA,NA,0,NA,NA,NA
483,NA,NA,1,NA,NA,NA
484,NA,NA,0,NA,NA,NA
485,NA,NA,5,NA,NA,NA
488,NA,NA,0,NA,NA,NA
491,NA,NA,0,NA,NA,NA
498,NA,NA,0,NA,NA,NA
500,NA,NA,4,NA,NA,NA
503,NA,NA,0,NA,NA,NA
504,NA,NA,0,NA,NA,NA
505,NA,NA,2,NA,NA,NA
507,NA,NA,1,NA,NA,NA
514,NA,NA,0,NA,NA,NA
520,NA,NA,1,NA,NA,NA
521,NA,NA,0,NA,NA,NA
560,NA,NA,0,NA,NA,NA
573,NA,NA,1,NA,NA,NA
583,NA,NA,0,NA,NA,NA
592,NA,NA,0,NA,NA,NA
630,NA,NA,0,NA,NA,NA
631,NA,NA,0,NA,NA,NA
633,NA,NA,0,NA,NA,NA
635,NA,NA,0,NA,NA,NA
638,NA,NA,0,NA,NA,NA
639,NA,NA,0,NA,NA,NA
659,NA,NA,2,NA,NA,NA
664,NA,NA,0,NA,NA,NA
673,NA,NA,0,NA,NA,NA
677,NA,NA,0,NA,NA,NA
697,NA,NA,0,NA,NA,NA
724,NA,NA,0,NA,NA,NA
728,NA,NA,0,NA,NA,NA
762,NA,NA,2,NA,NA,NA
771,NA,NA,0,NA,NA,NA
774,NA,NA,0,NA,NA,NA
791,NA,NA,0,NA,NA,NA
795,NA,NA,1,NA,NA,NA
839,NA,NA,0,NA,NA,NA
845,NA,NA,0,NA,NA,NA
846,NA,NA,0,NA,NA,NA
849,NA,NA,1,NA,NA,NA
854,NA,NA,0,NA,NA,NA
873,NA,NA,0,NA,NA,NA
890,NA,NA,0,NA,NA,NA
898,NA,NA,0,NA,NA,NA
906,NA,NA,0,NA,NA,NA
936,NA,NA,0,NA,NA,NA
977,NA,NA,5,NA,NA,NA
981,NA,NA,0,NA,NA,NA
982,NA,NA,0,NA,NA,NA
984,NA,NA,0,NA,NA,NA
990,NA,NA,0,NA,NA,NA
996,NA,NA,0,NA,NA,NA
1020,NA,NA,0,NA,NA,NA
1025,NA,NA,0,NA,NA,NA
1041,NA,NA,0,NA,NA,NA
1045,NA,NA,2,NA,NA,NA
1069,NA,NA,1,NA,NA,NA
1077,NA,NA,5,NA,NA,NA
1097,NA,NA,0,NA,NA,NA
1101,NA,NA,0,NA,NA,NA
1110,NA,NA,7,NA,NA,NA
1184,NA,NA,1,NA,NA,NA
1208,NA,NA,0,NA,NA,NA
1219,NA,NA,2,NA,NA,NA
1223,NA,NA,0,NA,NA,NA
1231,NA,NA,0,NA,NA,NA
1237,NA,NA,3,NA,NA,NA
1243,NA,NA,0,NA,NA,NA
1251,NA,NA,0,NA,NA,NA
1291,NA,NA,0,NA,NA,NA
1301,NA,NA,3,NA,NA,NA
1320,NA,NA,3,NA,NA,NA
1322,NA,NA,0,NA,NA,NA
1335,NA,NA,0,NA,NA,NA
1337,NA,NA,0,NA,NA,NA
1357,NA,NA,0,NA,NA,NA
1366,NA,NA,2,NA,NA,NA
1370,NA,NA,0,NA,NA,NA
1376,NA,NA,0,NA,NA,NA
1395,NA,NA,1,NA,NA,NA
1396,NA,NA,0,NA,NA,NA
1407,NA,NA,0,NA,NA,NA
1408,NA,NA,0,NA,NA,NA
1412,NA,NA,0,NA,NA,NA
1413,NA,NA,0,NA,NA,NA
1434,NA,NA,0,NA,NA,NA
1442,NA,NA,3,NA,NA,NA
1454,NA,NA,0,NA,NA,NA
1461,NA,NA,0,NA,NA,NA
1477,NA,NA,0,NA,NA,NA
1478,NA,NA,0,NA,NA,NA
1493,NA,NA,0,NA,NA,NA
1494,NA,NA,0,NA,NA,NA
1496,NA,NA,1,NA,NA,NA
1508,NA,NA,2,NA,NA,NA
1509,NA,NA,0,NA,NA,NA
1513,NA,NA,0,NA,NA,NA
1531,NA,NA,4,NA,NA,NA
1548,NA,NA,0,NA,NA,NA
1554,NA,NA,2,NA,NA,NA
1557,NA,NA,1,NA,NA,NA
1564,NA,NA,0,NA,NA,NA
1577,NA,NA,0,NA,NA,NA
1627,NA,NA,0,NA,NA,NA
1628,NA,NA,6,NA,NA,NA
1639,NA,NA,0,NA,NA,NA
1651,NA,NA,0,NA,NA,NA
1656,NA,NA,0,NA,NA,NA
1661,NA,NA,0,NA,NA,NA
1662,NA,NA,0,NA,NA,NA
1668,NA,NA,0,NA,NA,NA
1673,NA,NA,1,NA,NA,NA
1675,NA,NA,1,NA,NA,NA
1683,NA,NA,0,NA,NA,NA
1688,NA,NA,0,NA,NA,NA
1698,NA,NA,0,NA,NA,NA
1716,NA,NA,0,NA,NA,NA
1718,NA,NA,0,NA,NA,NA
1721,NA,NA,0,NA,NA,NA
1729,NA,NA,0,NA,NA,NA
1737,NA,NA,0,NA,NA,NA
1743,NA,NA,0,NA,NA,NA
1749,NA,NA,0,NA,NA,NA
1757,NA,NA,1,NA,NA,NA
1758,NA,NA,3,NA,NA,NA
1765,NA,NA,0,NA,NA,NA
1779,NA,NA,1,NA,NA,NA
1828,NA,NA,0,NA,NA,NA
1831,NA,NA,0,NA,NA,NA
1849,NA,NA,1,NA,NA,NA
1850,NA,NA,0,NA,NA,NA
1854,NA,NA,1,NA,NA,NA
1859,NA,NA,0,NA,NA,NA
1870,NA,NA,0,NA,NA,NA
1871,NA,NA,0,NA,NA,NA
1875,NA,NA,0,NA,NA,NA
1892,NA,NA,27,NA,NA,NA
1900,NA,NA,0,NA,NA,NA
1901,NA,NA,0,NA,NA,NA
1902,NA,NA,0,NA,NA,NA
1904,NA,NA,0,NA,NA,NA
1905,NA,NA,0,NA,NA,NA
1908,NA,NA,0,NA,NA,NA
1915,NA,NA,0,NA,NA,NA
1930,NA,NA,2,NA,NA,NA
1932,NA,NA,0,NA,NA,NA
1934,NA,NA,2,NA,NA,NA
1936,NA,NA,5,NA,NA,NA
1937,NA,NA,3,NA,NA,NA
1943,NA,NA,14,NA,NA,NA
1944,NA,NA,0,NA,NA,NA
1946,NA,NA,0,NA,NA,NA
1947,NA,NA,0,NA,NA,NA
1949,NA,NA,0,NA,NA,NA
1952,NA,NA,0,NA,NA,NA
1954,NA,NA,0,NA,NA,NA
1956,NA,NA,0,NA,NA,NA
1957,NA,NA,0,NA,NA,NA
1958,NA,NA,0,NA,NA,NA
1959,NA,NA,0,NA,NA,NA
1960,NA,NA,0,NA,NA,NA
1961,NA,NA,0,NA,NA,NA
1962,NA,NA,0,NA,NA,NA
1963,NA,NA,0,NA,NA,NA
1965,NA,NA,1,NA,NA,NA
1970,NA,NA,0,NA,NA,NA
1971,NA,NA,0,NA,NA,NA
1973,NA,NA,0,NA,NA,NA
1981,NA,NA,0,NA,NA,NA
1983,NA,NA,0,NA,NA,NA
1984,NA,NA,0,NA,NA,NA
2000,NA,NA,0,NA,NA,NA
2001,NA,NA,0,NA,NA,NA
2005,NA,NA,4,NA,NA,NA
2006,NA,NA,1,NA,NA,NA
2007,NA,NA,0,NA,NA,NA
2017,NA,NA,0,NA,NA,NA
2024,NA,NA,0,NA,NA,NA
2033,NA,NA,0,NA,NA,NA
2041,NA,NA,0,NA,NA,NA
2044,NA,NA,0,NA,NA,NA
2046,NA,NA,0,NA,NA,NA
2047,NA,NA,0,NA,NA,NA
2050,NA,NA,0,NA,NA,NA
2052,NA,NA,0,NA,NA,NA
2055,NA,NA,0,NA,NA,NA
2060,NA,NA,0,NA,NA,NA
2062,NA,NA,0,NA,NA,NA
2064,NA,NA,0,NA,NA,NA
2066,NA,NA,0,NA,NA,NA
2067,NA,NA,0,NA,NA,NA
2070,NA,NA,1,NA,NA,NA
2071,NA,NA,2,NA,NA,NA
2072,NA,NA,0,NA,NA,NA
2073,NA,NA,0,NA,NA,NA
2074,NA,NA,0,NA,NA,NA
2075,NA,NA,0,NA,NA,NA
2076,NA,NA,1,NA,NA,NA
