,v1,v2,v3,v4,v5,v6
1764,44,317,401,468,161,479
228,2,,16,,,0
490,,0,,,,
1634,5,,,55,,
2045,,16,,,,
21,,,11,,,
36,,,0,,,
40,,,0,,,
43,,,1,,,
48,,,6,,,
55,,,0,,,
57,,,5,,,
60,,,1,,,
68,,,0,,,
71,,,0,,,
92,,,23,,,
105,,,0,,,
108,,,0,,,
119,,,0,,,
136,,,3,,,
139,,,0,,,
144,,,0,,,
154,,,1,,,
163,,,0,,,
165,,,0,,,
169,,,2,,,
183,,,0,,,
192,,,0,,,
194,,,0,,,
216,,,0,,,
223,,,0,,,
235,,,1,,,
257,,,0,,,
258,,,0,,,
270,,,1,,,
279,,,1,,,
293,,,2,,,
296,,,4,,,
297,,,0,,,
298,,,1,,,
299,,,2,,,
301,,,0,,,
311,,,0,,,
321,,,0,,,
331,,,0,,,
336,,,0,,,
338,,,0,,,
352,,,5,,,
357,,,0,,,
376,,,0,,,
380,,,0,,,
392,,,1,,,
407,,,0,,,
418,,,0,,,
422,,,10,,,
425,,,0,,,
433,,,20,,,
444,,,0,,,
470,,,0,,,
472,,,1,,,
481,,,0,,,
483,,,1,,,
484,,,0,,,
485,,,5,,,
488,,,0,,,
491,,,0,,,
498,,,0,,,
500,,,4,,,
503,,,0,,,
504,,,0,,,
505,,,2,,,
507,,,1,,,
514,,,0,,,
520,,,1,,,
521,,,0,,,
560,,,0,,,
573,,,1,,,
583,,,0,,,
592,,,0,,,
630,,,0,,,
631,,,0,,,
633,,,0,,,
635,,,0,,,
638,,,0,,,
639,,,0,,,
659,,,2,,,
664,,,0,,,
673,,,0,,,
677,,,0,,,
697,,,0,,,
724,,,0,,,
728,,,0,,,
762,,,2,,,
771,,,0,,,
774,,,0,,,
791,,,0,,,
795,,,1,,,
839,,,0,,,
845,,,0,,,
846,,,0,,,
849,,,1,,,
854,,,0,,,
873,,,0,,,
890,,,0,,,
898,,,0,,,
906,,,0,,,
936,,,0,,,
977,,,5,,,
981,,,0,,,
982,,,0,,,
984,,,0,,,
990,,,0,,,
996,,,0,,,
1020,,,0,,,
1025,,,0,,,
1041,,,0,,,
1045,,,2,,,
1069,,,1,,,
1077,,,5,,,
1097,,,0,,,
1101,,,0,,,
1110,,,7,,,
1184,,,1,,,
1208,,,0,,,
1219,,,2,,,
1223,,,0,,,
1231,,,0,,,
1237,,,3,,,
1243,,,0,,,
1251,,,0,,,
1291,,,0,,,
1301,,,3,,,
1320,,,3,,,
1322,,,0,,,
1335,,,0,,,
1337,,,0,,,
1357,,,0,,,
1366,,,2,,,
1370,,,0,,,
1376,,,0,,,
1395,,,1,,,
1396,,,0,,,
1407,,,0,,,
1408,,,0,,,
1412,,,0,,,
1413,,,0,,,
1434,,,0,,,
1442,,,3,,,
1454,,,0,,,
