Site,2a,2b,2c,2d,2e,2f,2g
26,0,,,,,,
36,0,,,,,,
43,0,,,,,,
49,0,,,,,,
55,0,,,,,,
68,0,,,,,,
105,0,,,,,,
108,0,,,,,,
121,0,,,,,,
144,1,,,,,,
153,1,,,,,,
154,0,,,,,,
163,0,,,,,,
174,11,,,,,,
176,0,,,,,,
186,0,,,,,,
193,0,,,,,,
203,0,,,,,,
213,0,,,,,,
232,0,,,,,,
235,0,,,,,,
279,4,,,,,,
298,3,,,,,,
301,0,,,,,,
311,0,,,,,,
323,0,,,,,,
328,0,,,,,,
338,0,,,,,,
340,0,,,,,,
345,0,,,,,,
352,2,,,,,,
357,0,,,,,,
376,0,,,,,,
399,0,,,,,,
407,0,,,,,,
408,3,,,,,,
413,4,,,,,,
422,10,,,,,,
425,0,,,,,,
426,0,,,,,,
433,14,,,,,,
434,0,,,,,,
437,0,,,,,,
441,1,,,,,,
443,0,,,,,,
444,0,,,,,,
488,0,,,,,,
490,0,,,,,,
491,0,,,,,,
498,0,,,,,,
505,0,,,,,,
520,0,,,,,,
542,0,,,,,,
564,0,,,,,,
571,0,,,,,,
573,0,,,,,,
583,1,,,,,,
588,0,,,,,,
609,0,,,,,,
630,0,,,,,,
631,0,,,,,,
632,0,,,,,,
633,0,,,,,,
635,2,,,,,,
659,1,,,,,,
664,0,,,,,,
673,0,,,,,,
677,0,,,,,,
697,0,,,,,,
713,0,,,,,,
723,0,,,,,,
724,0,,,,,,
727,0,,,,,,
728,0,,,,,,
741,0,,,,,,
744,1,,,,,,
771,0,,,,,,
791,0,,,,,,
795,0,,,,,,
827,0,,,,,,
829,0,,,,,,
839,0,,,,,,
845,0,,,,,,
849,0,,,,,,
854,0,,,,,,
872,0,,,,,,
873,0,,,,,,
890,0,,,,,,
898,0,,,,,,
906,0,,,,,,
933,0,,,,,,
936,0,,,,,,
950,0,,,,,,
954,0,,,,,,
968,0,,,,,,
977,0,,,,,,
981,0,,,,,,
982,0,,,,,,
984,0,,,,,,
990,0,,,,,,
996,0,,,,,,
1007,0,,,,,,
1020,1,,,,,,
1030,0,,,,,,
1041,0,,,,,,
1045,2,,,,,,
1069,2,,,,,,
1077,0,,,,,,
1097,0,,,,,,
1101,0,,,,,,
1110,5,,,,,,
1122,0,,,,,,
1167,0,,,,,,
1203,0,,,,,,
1205,0,,,,,,
1219,5,,,,,,
1223,2,,,,,,
1231,13,,,,,,
1237,1,,,,,,
1251,1,,,,,,
1276,0,,,,,,
1291,0,,,,,,
1320,21,,,,,,
1322,0,,,,,,
1335,0,,,,,,
1365,0,,,,,,
1366,0,,,,,,
1395,2,,,,,,
1407,0,,,,,,
1442,1,,,,,,
1454,0,,,,,,
1461,0,,,,,,
1477,2,,,,,,
1486,0,,,,,,
1496,1,,,,,,
1508,5,,,,,,
1509,0,,,,,,
1513,0,,,,,,
1534,1,,,,,,
1547,0,,,,,,
1548,0,,,,,,
1554,2,,,,,,
1564,0,,,,,,
1594,0,,,,,,
1639,0,,,,,,
1651,0,,,,,,
1661,0,,,,,,
1668,0,,,,,,
1669,0,,,,,,
1673,3,,,,,,
1688,0,,,,,,
1716,0,,,,,,
1718,0,,,,,,
1737,0,,,,,,
1739,0,,,,,,
1743,0,,,,,,
1749,0,,,,,,
1779,0,,,,,,
1785,0,,,,,,
1828,2,,,,,,
1831,0,,,,,,
1875,0,,,,,,
1900,6,,,,,,
1901,0,,,,,,
1904,0,,,,,,
1905,0,,,,,,
1915,0,,,,,,
1929,1,,,,,,
1930,51,,,,,,
1932,1,,,,,,
1944,0,,,,,,
1945,0,,,,,,
1948,0,,,,,,
1949,0,,,,,,
1950,0,,,,,,
1952,0,,,,,,
1959,0,,,,,,
1960,0,,,,,,
1961,0,,,,,,
1962,0,,,,,,
1963,0,,,,,,
1970,0,,,,,,
1971,0,,,,,,
1973,0,,,,,,
1981,0,,,,,,
1984,1,,,,,,
1985,4,,,,,,
2000,0,,,,,,
2001,0,,,,,,
2002,0,,,,,,
2003,0,,,,,,
2005,3,,,,,,
2006,0,,,,,,
2007,0,,,,,,
2017,0,,,,,,
2024,0,,,,,,
2033,0,,,,,,
2039,0,,,,,,
2040,0,,,,,,
2041,0,,,,,,
2044,0,,,,,,
2046,0,,,,,,
2047,0,,,,,,
2052,0,,,,,,
2058,0,,,,,,
2068,0,,,,,,
2070,0,,,,,,
2071,14,,,,,,
2073,0,,,,,,
2074,0,,,,,,
2075,0,,,,,,
2076,0,,,,,,
2077,0,,,,,,
2078,0,,,,,,
2079,0,,,,,,
2080,0,,,,,,
2081,0,,,,,,
2083,0,,,,,,
2084,4,,,,,,
2085,0,,,,,,
2099,0,,,,,,
2100,0,,,,,,
2103,0,,,,,,
2104,0,,,,,,
2105,0,,,,,,
2109,1,,,,,,
2110,1,,,,,,
2116,0,,,,,,
2125,47,,,,,,
2129,0,,,,,,
2142,0,,,,,,
2143,0,,,,,,
2148,0,,,,,,
2149,0,,,,,,
2150,0,,,,,,
114,12,32,,,,,
228,1,2,,,,,
258,1,1,0,0,0,,
296,1,0,0,5,0,,
344,0,34,,,,,
382,0,2,12,1,,,
388,0,0,,,,,
541,1,7,,,,,
547,2,19,57,,,,
827,0,,,,,,
895,0,0,0,,,,
976,0,0,,,,,
1035,3,6,,,,,
1402,0,1,0,1,,,
1409,0,2,,,,,
1456,0,17,6,,,,
1571,0,2,,,,,
1634,66,121,,,,,
1734,0,0,1,0,,,
1748,1,1,,,,,
1761,2,0,1,,,,
1764,172,292,136,373,282,,
1765,0,0,2,0,0,,
1832,0,0,0,,,,
1833,0,0,0,0,,,
1834,0,1,0,,,,
1835,0,0,,,,,
1844,0,0,0,0,,,
1845,0,0,0,0,,,
1846,0,0,1,6,0,,
1847,0,0,0,0,,,
1859,0,0,1,0,,,
1874,2,26,,,,,
1943,11,6,,,,,
1966,8,6,,,,,
2045,8,6,19,9,,,
2086,0,18,,,,,
2139,9,8,6,3,3,,
2140,0,1,,,,,
