Site,4a,4b,,
36,0,,,
43,0,,,
55,0,,,
68,0,,,
105,0,,,
108,0,,,
144,0,,,
153,0,,,
154,0,,,
163,0,,,
174,8,,,
184,4,,,
186,0,,,
203,0,,,
232,0,,,
235,0,,,
298,0,,,
301,0,,,
311,0,,,
323,0,,,
328,0,,,
331,0,,,
336,0,,,
338,0,,,
340,0,,,
345,0,,,
357,0,,,
376,0,,,
382,5,,,
388,3,,,
407,0,,,
413,1,,,
422,5,,,
425,0,,,
434,0,,,
437,0,,,
441,0,,,
443,0,,,
444,0,,,
488,0,,,
490,0,,,
498,0,,,
505,2,,,
520,1,,,
542,0,,,
547,0,,,
573,0,,,
583,0,,,
592,0,,,
609,0,,,
630,0,,,
632,0,,,
633,0,,,
635,0,,,
659,0,,,
664,0,,,
673,0,,,
677,0,,,
713,0,,,
717,0,,,
724,0,,,
727,0,,,
728,0,,,
741,0,,,
771,0,,,
791,0,,,
795,1,,,
829,0,,,
839,0,,,
845,0,,,
849,2,,,
854,0,,,
873,0,,,
890,0,,,
898,0,,,
906,0,,,
936,1,,,
968,0,,,
977,1,,,
981,0,,,
982,0,,,
984,0,,,
990,1,,,
996,0,,,
1020,1,,,
1030,0,,,
1041,0,,,
1069,1,,,
1076,10,,,
1097,0,,,
1101,0,,,
1166,0,,,
1203,0,,,
1219,1,,,
1223,0,,,
1291,0,,,
1322,0,,,
1335,0,,,
1366,4,,,
1407,0,,,
1408,1,,,
1442,3,,,
1454,0,,,
1456,4,,,
1461,0,,,
1486,0,,,
1509,0,,,
1513,0,,,
1548,0,,,
1554,0,,,
1564,0,,,
1571,0,,,
1594,0,,,
1634,124,,,
1639,0,,,
1651,0,,,
1661,0,,,
1668,0,,,
1673,1,,,
1688,0,,,
1718,0,,,
1737,0,,,
1743,0,,,
1761,0,,,
1779,0,,,
1828,0,,,
1831,0,,,
1875,0,,,
1901,0,,,
1902,0,,,
1904,0,,,
1905,0,,,
1915,0,,,
1944,0,,,
1945,0,,,
1948,0,,,
1949,0,,,
1952,0,,,
1959,0,,,
1960,0,,,
1961,0,,,
1962,0,,,
1963,0,,,
1970,0,,,
1971,0,,,
1973,1,,,
1981,0,,,
1984,0,,,
1985,4,,,
2000,0,,,
2001,0,,,
2002,0,,,
2003,0,,,
2005,7,,,
2006,0,,,
2007,0,,,
2017,0,,,
2024,0,,,
2033,0,,,
2039,0,,,
2040,0,,,
2041,0,,,
2044,0,,,
2046,0,,,
2047,0,,,
2051,0,,,
2052,0,,,
2068,0,,,
2070,0,,,
2071,4,,,
2073,0,,,
2074,0,,,
2075,0,,,
2076,0,,,
2077,0,,,
2078,0,,,
2079,0,,,
2080,0,,,
2081,0,,,
2082,1,,,
2083,0,,,
2084,0,,,
2085,0,,,
2086,4,,,
2099,0,,,
2100,0,,,
2103,0,,,
2104,0,,,
2105,0,,,
2109,1,,,
2110,0,,,
2116,0,,,
2140,0,,,
2142,1,,,
2143,0,,,
2148,1,,,
2149,1,,,
2150,0,,,
48,3,32,,
169,1,1,0,
228,0,2,1,
258,1,2,0,
279,1,2,1,
296,0,0,0,
352,1,4,4,
433,20,60,74,
541,0,0,11,
617,0,1,1,
631,0,0,,
697,0,0,,
813,1,1,1,
895,0,0,0,
957,0,0,0,
976,0,0,0,
1045,0,0,3,
1077,0,2,,
1237,0,0,1,
1251,9,1,,
1395,8,2,,
1399,0,3,5,
1402,0,0,0,
1477,7,2,,
1490,0,0,0,
1508,6,0,,
1531,5,3,,
1537,0,2,0,
1662,0,0,1,
1683,6,0,,
1734,0,0,0,
1749,0,0,0,
1764,264,168,,
1765,1,0,0,
1832,0,0,0,
1833,0,0,0,
1834,0,0,0,
1835,0,0,0,
1844,0,1,0,
1845,0,0,0,
1846,1,0,2,
1847,0,0,0,
1859,0,0,1,
1890,3,2,9,
1900,54,20,0,
1929,9,1,50,29
1930,50,29,,
1932,0,0,,
1943,4,2,,
1966,0,6,,
2045,15,9,,
2129,0,0,0,
2133,0,0,0,
2139,19,14,20,
