site,18a,18b
36,0,
43,0,
48,64,
55,0,
68,0,
105,0,
108,0,
118,0,
125,0,
144,1,
145,0,
153,0,
154,1,
163,0,
169,1,
185,0,
186,0,
203,0,
228,6,
232,0,
235,0,
258,1,
278,0,
279,0,
296,0,
298,0,
301,0,
311,0,
323,0,
328,0,
331,0,
338,0,
340,0,
345,0,
352,1,
357,0,
372,0,
376,0,
407,0,
413,1,
422,0,
425,0,
433,274,
434,0,
437,0,
441,0,
443,0,
444,0,
488,0,
490,0,
492,0,
498,0,
505,1,
510,0,
520,0,
541,11,
542,0,
565,0,
573,0,
583,0,
588,0,
592,0,
609,0,
628,0,
630,0,
631,0,
632,0,
633,0,
635,0,
664,0,
673,0,
677,0,
697,0,
713,0,
723,0,
724,0,
727,0,
728,0,
741,0,
771,0,
779,0,
791,0,
795,0,
829,0,
839,0,
845,0,
849,3,
854,0,
864,0,
872,0,
873,0,
878,0,
890,0,
898,0,
906,2,
936,0,
968,0,
977,1,
981,0,
982,0,
984,0,
990,0,
996,0,
1020,0,
1030,0,
1041,0,
1045,0,
1069,2,
1077,1,
1097,1,
1101,0,
1162,0,
1203,0,
1219,1,
1223,0,
1231,0,
1237,0,
1251,5,
1322,0,
1335,0,
1366,1,
1395,1,
1407,0,
1408,1,
1442,0,
1454,0,
1461,0,
1477,0,
1486,0,
1495,0,
1496,2,
1508,2,
1509,0,
1513,0,
1530,0,
1548,0,
1554,1,
1564,0,
1594,0,
1634,210,
1639,0,
1651,0,
1661,0,
1668,0,
1671,0,
1673,0,
1688,0,
1718,0,
1737,0,
1743,0,
1749,0,
1765,1,
1779,1,
1785,0,
1787,0,
1826,0,
1827,0,
1828,1,
1830,0,
1831,0,
1858,0,
1859,0,
1867,0,
1868,0,
1875,0,
1885,0,
1886,0,
1900,41,
1901,0,
1904,0,
1905,0,
1915,0,
1930,12,
1932,5,
1943,2,
1944,0,
1945,1,
1948,0,
1949,0,
1959,0,
1960,0,
1961,0,
1962,0,
1963,0,
1966,3,
1970,0,
1971,0,
1973,0,
1981,0,
1984,1,
1985,3,
2000,0,
2001,0,
2002,0,
2003,0,
2005,4,
2006,0,
2007,2,
2017,0,
2024,0,
2033,0,
2039,0,
2040,0,
2041,0,
2044,0,
2045,8,
2046,0,
2047,0,
2051,0,
2052,0,
2068,0,
2070,1,
2071,25,
2074,0,
2075,0,
2076,0,
2077,0,
2078,0,
2079,0,
2080,0,
2081,0,
2082,0,
2083,0,
2084,5,
2085,0,
2086,5,
2088,0,
2089,0,
2090,0,
2099,0,
2100,0,
2103,0,
2104,0,
2105,0,
2109,8,
2110,3,
2116,0,
2142,0,
2143,0,
2148,0,
2149,3,
2150,0,
74,0,0
184,13,2
408,0,0
887,0,0
1140,0,0
1291,0,43
1309,0,0
1586,0,0
1726,0,0
1764,534,278
1855,0,0
1856,0,0
