site,20a,,,,,
7,0,,,,,
13,0,,,,,
24,4,,,,,
33,2,,,,,
36,0,,,,,
41,0,,,,,
43,0,,,,,
50,0,,,,,
55,0,,,,,
57,4,,,,,
60,0,,,,,
68,0,,,,,
69,0,,,,,
70,0,,,,,
71,0,,,,,
81,0,,,,,
84,0,,,,,
85,0,,,,,
90,0,,,,,
92,0,,,,,
96,0,,,,,
99,0,,,,,
105,0,,,,,
106,0,,,,,
108,0,,,,,
109,11,,,,,
114,19,,,,,
115,1,,,,,
118,1,,,,,
119,0,,,,,
126,0,,,,,
136,7,,,,,
138,0,,,,,
144,0,,,,,
148,0,,,,,
154,6,,,,,
156,0,,,,,
157,5,,,,,
163,3,,,,,
192,0,,,,,
194,0,,,,,
201,1,,,,,
202,0,,,,,
204,0,,,,,
205,0,,,,,
208,1,,,,,
213,0,,,,,
223,0,,,,,
228,1,,,,,
232,0,,,,,
235,0,,,,,
236,0,,,,,
239,0,,,,,
241,0,,,,,
250,0,,,,,
266,0,,,,,
267,0,,,,,
270,1,,,,,
281,5,,,,,
284,0,,,,,
294,12,,,,,
298,0,,,,,
299,8,,,,,
300,0,,,,,
301,0,,,,,
306,2,,,,,
308,0,,,,,
310,0,,,,,
311,0,,,,,
320,4,,,,,
322,0,,,,,
328,1,,,,,
333,0,,,,,
337,0,,,,,
338,0,,,,,
340,0,,,,,
342,0,,,,,
344,4,,,,,
345,0,,,,,
351,0,,,,,
357,0,,,,,
363,0,,,,,
368,2,,,,,
376,0,,,,,
378,0,,,,,
389,0,,,,,
392,0,,,,,
393,3,,,,,
394,0,,,,,
396,3,,,,,
397,12,,,,,
400,1,,,,,
404,1,,,,,
406,0,,,,,
407,0,,,,,
413,1,,,,,
416,0,,,,,
418,1,,,,,
421,0,,,,,
423,2,,,,,
425,0,,,,,
427,0,,,,,
441,0,,,,,
443,0,,,,,
444,0,,,,,
453,0,,,,,
456,13,,,,,
462,0,,,,,
467,0,,,,,
472,2,,,,,
481,2,,,,,
483,0,,,,,
485,6,,,,,
487,0,,,,,
492,0,,,,,
497,0,,,,,
498,0,,,,,
499,0,,,,,
500,2,,,,,
504,0,,,,,
505,1,,,,,
506,0,,,,,
507,3,,,,,
508,0,,,,,
509,0,,,,,
510,0,,,,,
512,0,,,,,
514,0,,,,,
515,0,,,,,
516,0,,,,,
519,4,,,,,
520,1,,,,,
523,0,,,,,
541,19,,,,,
542,0,,,,,
545,0,,,,,
546,0,,,,,
548,0,,,,,
550,0,,,,,
562,0,,,,,
564,0,,,,,
565,0,,,,,
566,0,,,,,
568,0,,,,,
572,0,,,,,
579,0,,,,,
583,0,,,,,
586,0,,,,,
587,0,,,,,
588,0,,,,,
589,0,,,,,
596,0,,,,,
609,0,,,,,
610,0,,,,,
612,0,,,,,
620,0,,,,,
622,0,,,,,
626,0,,,,,
630,0,,,,,
631,0,,,,,
632,0,,,,,
633,0,,,,,
636,0,,,,,
637,0,,,,,
644,2,,,,,
645,0,,,,,
647,0,,,,,
648,0,,,,,
652,0,,,,,
657,0,,,,,
669,0,,,,,
673,0,,,,,
677,0,,,,,
678,0,,,,,
682,0,,,,,
683,0,,,,,
691,0,,,,,
692,0,,,,,
693,3,,,,,
708,0,,,,,
710,0,,,,,
713,0,,,,,
714,0,,,,,
718,0,,,,,
719,0,,,,,
726,0,,,,,
727,0,,,,,
728,0,,,,,
730,0,,,,,
735,0,,,,,
736,0,,,,,
739,0,,,,,
741,0,,,,,
744,0,,,,,
753,0,,,,,
755,0,,,,,
762,0,,,,,
768,0,,,,,
771,0,,,,,
774,0,,,,,
780,0,,,,,
789,0,,,,,
791,0,,,,,
795,1,,,,,
798,0,,,,,
802,0,,,,,
807,0,,,,,
810,0,,,,,
811,0,,,,,
818,0,,,,,
829,0,,,,,
839,0,,,,,
849,2,,,,,
850,0,,,,,
854,0,,,,,
856,0,,,,,
858,0,,,,,
872,0,,,,,
873,0,,,,,
878,0,,,,,
879,1,,,,,
884,0,,,,,
890,0,,,,,
893,0,,,,,
895,0,,,,,
897,1,,,,,
898,0,,,,,
906,0,,,,,
908,0,,,,,
930,0,,,,,
936,0,,,,,
939,0,,,,,
944,0,,,,,
946,0,,,,,
952,0,,,,,
968,0,,,,,
975,0,,,,,
976,0,,,,,
977,0,,,,,
981,0,,,,,
983,0,,,,,
984,0,,,,,
994,0,,,,,
996,0,,,,,
997,0,,,,,
998,0,,,,,
1008,0,,,,,
1009,0,,,,,
1020,0,,,,,
1026,0,,,,,
1030,0,,,,,
1035,0,,,,,
1040,0,,,,,
1041,0,,,,,
1043,0,,,,,
1048,0,,,,,
1059,0,,,,,
1065,0,,,,,
1077,2,,,,,
1083,0,,,,,
1088,0,,,,,
1090,0,,,,,
1097,0,,,,,
1100,2,,,,,
1101,1,,,,,
1110,2,,,,,
1123,0,,,,,
1129,0,,,,,
1132,0,,,,,
1136,0,,,,,
1140,0,,,,,
1147,123,,,,,
1151,0,,,,,
1155,2,,,,,
1176,0,,,,,
1181,0,,,,,
1184,0,,,,,
1190,0,,,,,
1195,0,,,,,
1196,0,,,,,
1198,0,,,,,
1203,0,,,,,
1208,2,,,,,
1219,9,,,,,
1223,1,,,,,
1224,0,,,,,
1226,0,,,,,
1228,0,,,,,
1231,1,,,,,
1235,2,,,,,
1249,0,,,,,
1253,0,,,,,
1254,0,,,,,
1271,0,,,,,
1283,0,,,,,
1286,0,,,,,
1291,0,,,,,
1304,0,,,,,
1322,0,,,,,
1335,2,,,,,
1344,2,,,,,
1348,0,,,,,
1352,0,,,,,
1366,1,,,,,
1379,0,,,,,
1398,0,,,,,
1400,0,,,,,
1402,0,,,,,
1407,0,,,,,
1409,9,,,,,
1426,0,,,,,
1434,0,,,,,
1442,2,,,,,
1444,0,,,,,
1461,0,,,,,
1470,0,,,,,
1475,0,,,,,
1478,0,,,,,
1486,0,,,,,
1493,0,,,,,
1509,0,,,,,
1511,0,,,,,
1512,0,,,,,
1513,1,,,,,
1519,0,,,,,
1523,0,,,,,
1526,4,,,,,
1545,0,,,,,
1547,0,,,,,
1552,0,,,,,
1554,1,,,,,
1555,0,,,,,
1557,0,,,,,
1560,0,,,,,
1564,0,,,,,
1579,0,,,,,
1582,0,,,,,
1587,0,,,,,
1588,0,,,,,
1591,0,,,,,
1594,0,,,,,
1604,1,,,,,
1607,3,,,,,
1616,0,,,,,
1617,0,,,,,
1618,0,,,,,
1624,0,,,,,
1628,1,,,,,
1633,2,,,,,
1634,35,,,,,
1638,0,,,,,
1651,0,,,,,
1654,0,,,,,
1655,0,,,,,
1661,0,,,,,
